WO-008b-B per-minute MarketStates EMITTED (minutes 1..60), run WO-008b-B-2026-07-20
start_utc=2026-07-20T03:39:35.967431+00:00 end_utc=2026-07-20T04:39:37.386648+00:00 elapsed=3601.4s

minute  1: 2396
minute  2: 2517
minute  3: 1889
minute  4: 2043
minute  5: 1171
minute  6: 218
minute  7: 0
minute  8: 0
minute  9: 0
minute 10: 0
minute 11: 0
minute 12: 0
minute 13: 1059
minute 14: 1364
minute 15: 899
minute 16: 692
minute 17: 0
minute 18: 0
minute 19: 0
minute 20: 0
minute 21: 0
minute 22: 0
minute 23: 0
minute 24: 0
minute 25: 0
minute 26: 0
minute 27: 0
minute 28: 0
minute 29: 0
minute 30: 0
minute 31: 0
minute 32: 0
minute 33: 0
minute 34: 0
minute 35: 0
minute 36: 0
minute 37: 0
minute 38: 0
minute 39: 0
minute 40: 0
minute 41: 0
minute 42: 0
minute 43: 0
minute 44: 0
minute 45: 0
minute 46: 0
minute 47: 0
minute 48: 0
minute 49: 0
minute 50: 0
minute 51: 0
minute 52: 0
minute 53: 0
minute 54: 0
minute 55: 0
minute 56: 0
minute 57: 0
minute 58: 0
minute 59: 0
minute 60: 0

min=0  median=0  mean=237.5  pct_minutes>=60=16.7%
